MutationType	SCN-A	SCN-B	SCN-C	SCN-D	SCN-E	SCN-F	SCN-G	SCN-H	SCN-I	SCN-J	SCN-K
dup4	0.00071421	0.00000000	0.00018094	0.00000000	0.00849017	0.02484228	0.00025426	0.00000000	0.00049086	0.00000000	0.00000000
ins	0.00026650	0.00007391	0.00003561	0.00044589	0.00013633	0.00018213	0.00000000	0.00048089	0.00011843	0.00000000	0.00051667
recip_inv	0.00074112	0.00028252	0.00051378	0.00165652	0.00004153	0.00048080	0.00000000	0.00052825	0.00004405	0.00029689	0.00010044
recip_trans	0.00233074	0.00112105	0.00031335	0.00001852	0.00152374	0.00107954	0.00000000	0.00007648	0.00000000	0.00003180	0.00016704
unbal_trans	0.00361815	0.00012970	0.00355871	0.00363230	0.00410952	0.00024998	0.00032083	0.00114530	0.00429547	0.00000969	0.00035142
LINE	0.00000000	0.00079036	0.00123255	0.00286957	0.00000000	0.00000000	0.00012134	0.01797988	0.00157515	0.00366142	0.00010261
del_magnitude	0.00037116	0.00002002	0.00030716	0.00073394	0.00030974	0.00015684	0.00026066	0.00017276	0.00003860	0.00010150	0.00428674
dup_magnitude	0.00015157	0.00014481	0.00026077	0.00071721	0.00026268	0.00021551	0.00023019	0.00026331	0.00091184	0.00039565	0.00503969
chrtps	0.00397831	0.00000000	0.00000000	0.00083428	0.00256469	0.00093318	0.00000000	0.00005426	0.00000000	0.00000000	0.00000001
segsize1	0.12136804	0.17032373	0.05083213	0.00073642	0.01140112	0.00000000	0.00000000	0.05594599	0.02574743	0.08204033	0.00006455
segsize2	0.00000000	0.10262380	0.07453165	0.11141693	0.06107955	0.08896445	0.02767124	0.06590486	0.17658583	0.08733894	0.00000000
segsize3	0.13945446	0.04797621	0.12129595	0.16419122	0.15090892	0.17177600	0.25996561	0.08760182	0.06968394	0.03443236	0.21048207
fiveMB1	0.00039301	0.00801590	0.00111302	0.00019917	0.00030344	0.00200321	0.00123559	0.00004311	0.00493654	0.00315329	0.00000000
fiveMB2	0.00000000	0.00007734	0.00000000	0.00009373	0.00000000	0.00000000	0.00000576	0.00003319	0.00895682	0.00025162	0.22599581
fiveMB3	0.01986416	0.00130127	0.01227549	0.01193721	0.02040728	0.01497645	0.01588540	0.00852540	0.00025810	0.00001903	0.00000000
fiveMB4	0.00000000	0.00019672	0.00000510	0.00000103	0.00000000	0.00000044	0.00000000	0.00001754	0.00115661	0.00019707	0.00000002
fiveMB5	0.00188593	0.00026776	0.01735011	0.05926444	0.00129215	0.00211891	0.00946310	0.01552329	0.00000000	0.00009002	0.22524371
osc1	0.02118419	0.09217609	0.15697489	0.05528580	0.07910282	0.06477702	0.12695359	0.28005460	0.27063432	0.13729993	0.02250127
osc2	0.00666276	0.02231640	0.01902490	0.01789535	0.01400507	0.01345104	0.01123409	0.00532198	0.00055747	0.00853462	0.00000000
osc3	0.00702836	0.00982789	0.00158798	0.00488123	0.00399195	0.00651194	0.00526836	0.00000000	0.00000000	0.00137319	0.00000000
osc4	0.00733725	0.00491763	0.00000000	0.00075817	0.00018705	0.00319733	0.00171718	0.00000000	0.00000000	0.00000000	0.00000000
bpArm1	0.00057063	0.00043621	0.00064776	0.00115024	0.00060913	0.00053863	0.00045568	0.00010229	0.00251927	0.00007577	0.11056515
bpArm2	0.00017595	0.00001788	0.00209368	0.01070905	0.00009644	0.00015806	0.00161805	0.00142550	0.00001233	0.00006745	0.04269319
bpArm3	0.00321155	0.00020724	0.00592673	0.01290975	0.00289818	0.00212868	0.00548115	0.00643137	0.00029750	0.00160388	0.00021653
bpArm4	0.00309579	0.00489981	0.00214298	0.00007590	0.00267280	0.00340242	0.00190338	0.00040486	0.00250849	0.00046559	0.00000000
chg1	0.02613136	0.00230826	0.00000000	0.00000000	0.03752811	0.01871102	0.03046782	0.26712227	0.00004432	0.03002729	0.07881261
chg2	0.16934037	0.33260169	0.00000000	0.29366180	0.12196933	0.18533510	0.21091577	0.00000000	0.00000000	0.07908908	0.01259689
chg3	0.01679257	0.02916593	0.26897744	0.00040021	0.02194717	0.00908176	0.02326324	0.00000000	0.05609069	0.06649502	0.00169828
chg4	0.00000000	0.00012149	0.04299980	0.00000000	0.00026579	0.00017954	0.00262366	0.00000000	0.15777941	0.00015450	0.00000000
chg5	0.00000000	0.00000000	0.00000000	0.00000002	0.00000000	0.00000000	0.00000000	0.00000002	0.04995497	0.00000017	0.00000031
